;IDIndikator;Indikator;mes;god;idter;nter;vrednost;CreateDate;LastUpdate;IDLegenda;nIzvorI
3486;IND01G1001;Број становника према Попису 2011;0;2011;70513;Дољевац;18463;2/10/2017 9:32:24 AM;2/10/2017 9:32:24 AM;A;Републички завод за статистику (РЗС)
3487;IND01G1002;Број домаћинстава према Попису 2011;0;2011;70513;Дољевац;5261;2/10/2017 9:20:42 AM;4/12/2017 1:01:02 PM;A;Републички завод за статистику (РЗС)
3488;IND02G01;Број великих предузећа ;0;2017;70513;Дољевац;0;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3489;IND02G02;Број средњих предузећа ;0;2017;70513;Дољевац;0;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3490;IND02G03;Број малих предузећа ;0;2017;70513;Дољевац;7;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3491;IND02G04;Број микро предузећа;0;2017;70513;Дољевац;78;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3492;IND02G05;Број без ознаке за величину;0;2017;70513;Дољевац;10;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3493;IND02M01;Број активних привредних друштава;5;2021;70513;Дољевац;75;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3494;IND02M02;Број активних привредних друштава по NACE Rev.2  (сектор A);5;2021;70513;Дољевац;3;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3495;IND02M03;Број активних привредних друштава по NACE Rev.2  (сектор B);5;2021;70513;Дољевац;2;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3496;IND02M04;Број активних привредних друштава по NACE Rev.2  (сектор C);5;2021;70513;Дољевац;21;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3497;IND02M05;Број активних привредних друштава по NACE Rev.2  (сектор D);5;2021;70513;Дољевац;2;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3498;IND02M06;Број активних привредних друштава по NACE Rev.2  (сектор E);5;2021;70513;Дољевац;1;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3499;IND02M07;Број активних привредних друштава по NACE Rev.2  (сектор F);5;2021;70513;Дољевац;8;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3500;IND02M08;Број активних привредних друштава по NACE Rev.2  (сектор G);5;2021;70513;Дољевац;18;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3501;IND02M09;Број активних привредних друштава по NACE Rev.2  (сектор H);5;2021;70513;Дољевац;5;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3502;IND02M10;Број активних привредних друштава по NACE Rev.2  (сектор I);5;2021;70513;Дољевац;3;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3503;IND02M11;Број активних привредних друштава по NACE Rev.2  (сектор J);5;2021;70513;Дољевац;1;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3504;IND02M12;Број активних привредних друштава по NACE Rev.2  (сектор K);5;2021;70513;Дољевац;0;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3505;IND02M13;Број активних привредних друштава по NACE Rev.2  (сектор L);5;2021;70513;Дољевац;2;6/8/2021 3:37:47 PM;6/8/2021 3:37:47 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
